date,dji
2022-01-04,1000000.0
2022-01-05,1006135.0437946115
2022-01-06,995754.9762391701
2022-01-07,998140.8483573644
2022-01-10,1009016.6374754799
2022-01-11,1012713.2088912973
2022-01-12,1021620.403889078
2022-01-13,1023044.8528817699
2022-01-14,1022839.8684915171
2022-01-17,1024274.6287015476
2022-01-18,1015018.2227925153
2022-01-19,1004057.9208487463
2022-01-20,993462.4924248446
2022-01-21,986321.321809308
2022-01-24,960498.1832026615
2022-01-25,966623.5031277577
2022-01-27,956913.4036558355
2022-01-28,955631.810705889
2022-01-31,969230.1527665583
2022-02-01,983404.160954709
2022-02-02,995028.0354168128
2022-02-03,982158.657265447
2022-02-04,979766.2590603296
2022-02-07,962664.7135393723
2022-02-08,965795.3426972239
2022-02-09,976778.2249017465
2022-02-10,984464.3890362261
2022-02-11,971548.2188416222
2022-02-14,942360.0992957178
2022-02-15,971366.597842554
2022-02-16,968937.9145941446
2022-02-17,967189.2496031161
2022-02-18,966202.8315646986
2022-02-21,963707.1906644588
2022-02-22,957309.9939581488
2022-02-23,956163.5562683783
2022-02-24,911019.3499782485
2022-02-25,933216.1378643694
2022-02-28,939711.0953527865
2022-03-02,926706.8229847215
2022-03-03,920588.485972633
2022-03-04,907743.123821144
2022-03-07,882832.3321663385
2022-03-08,892544.6505078144
2022-03-09,912981.0264464451
2022-03-10,926631.5119416296
2022-03-11,928066.7942386138
2022-03-14,943699.6438975409
2022-03-15,931851.7288713694
2022-03-16,949223.3891300713
2022-03-17,966720.0892142187
2022-03-21,957173.1419153726
2022-03-22,968814.6368121684
2022-03-23,963727.7478382663
2022-03-24,962238.4948024286
2022-03-25,958337.7873876583
2022-03-28,962201.8834547903
2022-03-29,968051.9330334727
2022-03-30,980420.6297961029
2022-03-31,978491.3879799137
2022-04-01,990322.79200617
2022-04-04,1012627.1298047827
2022-04-05,1005355.698494262
2022-04-06,995898.1585862617
2022-04-07,986284.0578529774
2022-04-08,993171.1026437308
2022-04-11,985108.2527720532
2022-04-12,978622.6928488053
2022-04-13,974655.8109126354
2022-04-18,955072.2640131075
2022-04-19,943317.5415081969
2022-04-20,952913.1081546197
2022-04-21,967517.838079691
2022-04-22,955580.3198800662
2022-04-25,945267.9278460167
2022-04-26,958244.3990837896
2022-04-27,949269.202260271
2022-04-28,960991.8164175203
2022-04-29,953303.5639352252
2022-05-02,951885.4452468486
2022-05-04,930050.3983588718
2022-05-05,930605.050486461
2022-05-06,916126.0782563967
2022-05-09,910029.6688963695
2022-05-10,908261.751948918
2022-05-11,903642.9791900056
2022-05-12,884295.1545501378
2022-05-13,882011.5462140277
2022-05-16,885022.4216768416
2022-05-17,907486.8443876762
2022-05-18,905650.1424840558
2022-05-19,881988.3133445818
2022-05-20,907619.1934304754
2022-05-23,906987.990303279
2022-05-24,903045.1896278551
2022-05-25,897977.2263060298
2022-05-26,906385.240915067
2022-05-27,916946.0810782766
2022-05-30,934339.1469020861
2022-05-31,928335.9300633201
2022-06-01,925241.1943835451
2022-06-02,932541.0141721809
2022-06-03,931724.4049155009
2022-06-06,930155.4683583329
2022-06-07,920666.3421896248
2022-06-08,917076.8638602144
2022-06-09,924223.9079539817
2022-06-10,907235.7858237468
2022-06-13,882898.3109051303
2022-06-14,880340.0195704295
2022-06-15,877797.5866269515
2022-06-16,860328.9487165732
2022-06-17,858067.3985542629
2022-06-20,862033.8889252174
2022-06-21,877641.8741929678
2022-06-22,865787.7593842194
2022-06-23,873191.9965636237
2022-06-24,880914.9025674801
2022-06-27,888153.9644868622
2022-06-28,888424.0792246069
2022-06-29,885910.0347592442
2022-06-30,885775.9236729757
2022-07-01,883921.2750303169
2022-07-04,889381.7172196938
2022-07-05,887704.0560543878
2022-07-06,898005.7453058836
2022-07-07,905147.7643127202
2022-07-08,910216.2497214993
2022-07-11,908769.2857289228
2022-07-12,900271.86372904
2022-07-13,894049.2398479213
2022-07-14,892411.975160669
