account_value,date,daily_return
1118774.1332369351,2022-04-06,
1104398.167787228,2022-04-07,-0.012849747793250543
1128767.1382942281,2022-04-08,0.022065384765918017
1123219.186569222,2022-04-11,-0.004915054254139628
1119381.0663604818,2022-04-12,-0.0034170714448561457
1115310.6948585592,2022-04-13,-0.0036362697424898727
1115213.3598404012,2022-04-18,-8.72716621536096e-05
1093351.7347259603,2022-04-19,-0.01960308753615503
1107308.627155312,2022-04-20,0.012765235546866371
1129597.6616630636,2022-04-21,0.020129017295758223
1116603.348262795,2022-04-22,-0.011503488225301006
1109478.872001656,2022-04-25,-0.006380489788270105
1137802.1182823263,2022-04-26,0.025528423294416625
1115812.2745399557,2022-04-27,-0.019326597647372434
1128196.4577598653,2022-04-28,0.011098805329969652
1113905.6703834615,2022-04-29,-0.012666931612938637
1111180.9330978475,2022-05-02,-0.0024461113342533203
1080279.4411087118,2022-05-04,-0.02780959524115112
1080401.6187477193,2022-05-05,0.00011309818030258434
1071931.2600975118,2022-05-06,-0.007840009218077038
1058857.3842697225,2022-05-09,-0.012196561770761338
1039127.7822990498,2022-05-10,-0.01863291720280147
1039373.3963508686,2022-05-11,0.0002363655904527029
1020262.6886406025,2022-05-12,-0.018386758577198403
1020800.345905312,2022-05-13,0.0005269792482813784
1028826.147857674,2022-05-16,0.00786226413867852
1055493.1324348531,2022-05-17,0.02591981612511285
1051682.5730896078,2022-05-18,-0.0036102170901434194
1028900.8230056843,2022-05-19,-0.021662192249697343
1081592.043499001,2022-05-20,0.051211175377809726
1072708.1897087179,2022-05-23,-0.008213682639106268
1072515.4215431295,2022-05-24,-0.000179702334183518
1051431.5949974142,2022-05-25,-0.019658296861950975
1048250.5092697224,2022-05-26,-0.003025480442880868
1060740.3735885702,2022-05-27,0.011914961365054877
1081191.3452110372,2022-05-30,0.019279903105111185
1084315.6730003438,2022-05-31,0.0028897084712575793
1073725.5790252767,2022-06-01,-0.009766615238313348
1088241.0446128927,2022-06-02,0.01351878531271744
1082882.5644874654,2022-06-03,-0.0049239827444050865
1086560.8019447408,2022-06-06,0.0033967094659210773
1075480.8817100606,2022-06-07,-0.010197239045297013
1066616.77883149,2022-06-08,-0.008241990191844462
1089499.6790237508,2022-06-09,0.021453722317522184
1084952.8498649679,2022-06-10,-0.004173318493179479
1048232.7493515095,2022-06-13,-0.03384488138634645
1076238.0400199972,2022-06-14,0.026716672118680895
1073443.5322456441,2022-06-15,-0.0025965517575471386
1037792.0074653706,2022-06-16,-0.033212296417390985
1036754.2393236011,2022-06-17,-0.0009999770033920496
1041693.1357314687,2022-06-20,0.0047638063299262345
1067788.736434792,2022-06-21,0.02505114011814924
1060093.1451109394,2022-06-22,-0.007207035494256164
1073462.4886625751,2022-06-23,0.012611480050874757
1080519.715453957,2022-06-24,0.0065742649285998045
1086980.1616438373,2022-06-27,0.005979017409382559
1096568.0436628803,2022-06-28,0.008820659619530824
1094379.2949293598,2022-06-29,-0.0019959990136220185
1097967.403785561,2022-06-30,0.003278670268001438
1093623.8178251728,2022-07-01,-0.003956024509846445
1090561.302474831,2022-07-04,-0.002800337099855832
1096628.7023542866,2022-07-05,0.005563556918521506
1099020.3724287495,2022-07-06,0.0021809296704786707
