account_rewards,date
35651.94436163339,2022-01-04
12827.567819732707,2022-01-05
-9945.827019363409,2022-01-06
10809.978775024414,2022-01-07
-5067.196212768555,2022-01-10
10188.620666503906,2022-01-11
4045.198760986328,2022-01-12
141.8087615966797,2022-01-13
7815.230545043945,2022-01-14
-18637.612075805664,2022-01-17
-6921.582289672806,2022-01-18
-13793.087297382299,2022-01-19
-3857.4841205750126,2022-01-20
-44273.98291015625,2022-01-21
13030.284088134766,2022-01-24
-10914.04995727539,2022-01-25
2737.7452697753906,2022-01-27
17913.302337646484,2022-01-28
1104.2034301757812,2022-01-31
18909.192749023438,2022-02-01
-3998.8130493164062,2022-02-02
-1420.6258544921875,2022-02-03
-26137.645965576172,2022-02-04
4510.783721923828,2022-02-07
23686.29793365486,2022-02-08
2599.7235717773438,2022-02-09
-9899.859697418287,2022-02-10
-39170.63153076172,2022-02-11
40228.470458984375,2022-02-14
-3555.802490234375,2022-02-15
77.35845947265625,2022-02-16
2550.4364624023438,2022-02-17
-16630.024897644063,2022-02-18
-1835.9569396972656,2022-02-21
2709.6940302582225,2022-02-22
-58367.11853637698,2022-02-23
32031.252838134766,2022-02-24
10947.225737762521,2022-02-25
-18393.773529052734,2022-02-28
-6747.872009277344,2022-03-02
-16712.97476196289,2022-03-03
-15048.855285644531,2022-03-04
-923.071745117195,2022-03-07
28705.262575561646,2022-03-08
24660.945068359375,2022-03-09
2266.627197265625,2022-03-10
5674.7543337707175,2022-03-11
-3354.795867919922,2022-03-14
29196.533081054688,2022-03-15
24396.825955566484,2022-03-16
-15660.84741087351,2022-03-17
18018.267028808594,2022-03-21
-9950.867736816406,2022-03-22
-603.0617828369141,2022-03-23
13344.58920288086,2022-03-24
10595.88975524914,2022-03-25
565.7553277588449,2022-03-28
11937.334686279297,2022-03-29
472.8127746582031,2022-03-30
21468.75355529785,2022-03-31
8615.82876586914,2022-04-01
23372.842697143555,2022-04-04
