account_rewards,date
13435.801944496343,2022-07-07
13386.30084991455,2022-07-08
1684.5354614257812,2022-07-11
-1762.3748092651367,2022-07-12
11293.946533203125,2022-07-13
-4949.507850646973,2022-07-14
-8356.294662475586,2022-07-15
-1274.7240905761719,2022-07-18
4635.207542419434,2022-07-19
-12908.374366760254,2022-07-20
-245.37403869628906,2022-07-21
-7016.776504516602,2022-07-22
-23842.572410583496,2022-07-25
12043.79541015625,2022-07-26
-2191.734062194824,2022-07-27
-24701.035034179688,2022-07-28
9833.426063537598,2022-07-29
-6155.485504150391,2022-08-01
4018.080810546875,2022-08-02
11285.142837524414,2022-08-03
4525.247230529785,2022-08-04
10425.511253356934,2022-08-05
4542.887802124023,2022-08-08
3610.2126846313477,2022-08-10
-466.8582305908203,2022-08-11
6549.390968322754,2022-08-12
9374.342971801758,2022-08-16
-16913.638961791992,2022-08-17
-5989.096038818359,2022-08-18
-8844.156723022461,2022-08-19
8509.163047790527,2022-08-22
-345.00000762939453,2022-08-23
3388.5877838134766,2022-08-24
-3607.675392150879,2022-08-25
-8059.946380615234,2022-08-26
11070.44149017334,2022-08-29
-7324.544166564941,2022-08-30
-3612.13712310791,2022-09-01
4522.305488586426,2022-09-02
8681.18440246582,2022-09-05
991.160400390625,2022-09-06
8973.767333984375,2022-09-07
-2287.8420791625977,2022-09-08
3364.310989379883,2022-09-09
1959.7344055175781,2022-09-12
-9391.736961364746,2022-09-13
-9038.534889221191,2022-09-14
-23211.563934326172,2022-09-15
5143.559013366699,2022-09-16
25194.685050964355,2022-09-19
-14855.071258544922,2022-09-20
5013.1555099487305,2022-09-21
-12339.422584533691,2022-09-22
-6539.384956359863,2022-09-23
11258.643966674805,2022-09-26
15470.33391571045,2022-09-27
15855.025489807129,2022-09-28
3282.666679382324,2022-09-29
15828.445182800293,2022-09-30
4656.819381713867,2022-10-03
-5481.643180847168,2022-10-04
-3431.2257690429688,2022-10-06
