account_rewards,date
-14375.965449707117,2022-04-06
24368.970507000107,2022-04-07
-5547.9517250061035,2022-04-08
-3838.1202087402344,2022-04-11
-4070.3715019226074,2022-04-12
-97.33501815795898,2022-04-13
-21861.625114440918,2022-04-18
13956.892429351807,2022-04-19
22289.034507751465,2022-04-20
-12994.313400268555,2022-04-21
-7124.476261138916,2022-04-22
28323.246280670166,2022-04-25
-21989.843742370605,2022-04-26
12384.183219909668,2022-04-27
-14290.787376403809,2022-04-28
-2724.7372856140137,2022-04-29
-30901.491989135742,2022-05-02
122.17763900756836,2022-05-04
-8470.35865020752,2022-05-05
-13073.875827789307,2022-05-06
-19729.601970672724,2022-05-09
245.61405181884766,2022-05-10
-19110.707710266113,2022-05-11
537.6572647094727,2022-05-12
8025.801952362061,2022-05-13
26666.98457717907,2022-05-16
-3810.5593452453613,2022-05-17
-22781.750083923456,2022-05-18
52691.22049331677,2022-05-19
-8883.853790283203,2022-05-20
-192.7681655883789,2022-05-23
-21083.826545715332,2022-05-24
-3181.085727691767,2022-05-25
12489.864318847773,2022-05-26
20450.97162246704,2022-05-27
3124.3277893066406,2022-05-30
-10590.093975067139,2022-05-31
14515.465587615967,2022-06-01
-5358.480125427246,2022-06-02
3678.2374572753906,2022-06-03
-11079.920234680176,2022-06-06
-8864.102878570557,2022-06-07
22882.900192260742,2022-06-08
-4546.829158782959,2022-06-09
-36720.10051345837,2022-06-10
28005.290668487665,2022-06-13
-2794.5077743530273,2022-06-14
-35651.524780273554,2022-06-15
-1037.7681417694548,2022-06-16
4938.896407867549,2022-06-17
26095.60070332326,2022-06-20
-7695.591323852539,2022-06-21
13369.343551635742,2022-06-22
7057.226791381836,2022-06-23
6460.446189880371,2022-06-24
9587.882019042969,2022-06-27
-2188.748733520508,2022-06-28
3588.108856201172,2022-06-29
-4343.585960388184,2022-06-30
-3062.515350341797,2022-07-01
6067.399879455566,2022-07-04
2391.6700744628906,2022-07-05
