account_rewards,date
-1603.8676516494015,2022-10-04
-10470.037931098952,2022-10-05
-16598.700312171946,2022-10-06
-2299.988861812628,2022-10-07
1822.6843100014376,2022-10-10
-800.0264129638672,2022-10-11
20190.13206100464,2022-10-12
-7791.667110443115,2022-10-13
12979.042026519775,2022-10-14
7486.200630187988,2022-10-17
-3089.529815673828,2022-10-18
-5354.406406402588,2022-10-19
18603.995315551758,2022-10-20
10833.823616027832,2022-10-21
7018.638107299805,2022-10-24
4149.733943939209,2022-10-25
6278.958480834961,2022-10-26
20432.314247131348,2022-10-27
-1289.8151626586914,2022-10-28
-3625.688648223877,2022-10-31
-12301.4224319458,2022-11-01
-1604.4544143676758,2022-11-02
7275.013217926025,2022-11-03
7915.250503540039,2022-11-04
5234.449363708496,2022-11-07
-18792.797035217285,2022-11-08
23423.148307800293,2022-11-09
-3547.122127532959,2022-11-10
-5601.626712799072,2022-11-11
-1524.0598030090332,2022-11-14
2339.699867248535,2022-11-15
278.5156669616699,2022-11-16
7024.186416625977,2022-11-17
3484.405544281006,2022-11-18
8240.959117889404,2022-11-21
2917.7455139160156,2022-11-22
5550.992275238037,2022-11-23
-13169.439403533936,2022-11-25
-658.3325080871582,2022-11-28
17844.067169189453,2022-11-29
-3366.8302154541016,2022-11-30
2586.3032760620117,2022-12-01
-11492.789833068848,2022-12-02
-4703.362697601318,2022-12-05
2340.29146194458,2022-12-06
5239.561614990234,2022-12-07
-7058.331413269043,2022-12-08
12314.248310089111,2022-12-09
-450.42272567749023,2022-12-12
-1979.145408630371,2022-12-13
-17645.38986968994,2022-12-14
-7029.01448059082,2022-12-15
-4915.452018737793,2022-12-16
1422.6624565124512,2022-12-19
11745.00520324707,2022-12-20
-5878.550605773926,2022-12-21
5475.430160522461,2022-12-22
643.3375625610352,2022-12-23
-8812.418468475342,2022-12-27
8337.50783920288,2022-12-28
-3368.7681465148926,2022-12-29
-393.4583969116211,2022-12-30
