account_rewards,date
10720.57360859681,2022-07-06
-869.7776416777633,2022-07-07
-4441.614409400965,2022-07-08
3624.3743911437923,2022-07-11
-5230.465609821258,2022-07-12
1690.4985916862497,2022-07-13
13404.681313278154,2022-07-14
-992.3008904113667,2022-07-15
22114.99411608884,2022-07-18
5303.1197715263115,2022-07-19
7686.625525669195,2022-07-20
-4090.728465972934,2022-07-21
-460.29747544857673,2022-07-22
-10149.144739486743,2022-07-25
8978.945573040051,2022-07-26
9255.73231321713,2022-07-27
9703.363548278809,2022-07-28
-801.6901539077517,2022-07-29
-2812.3664741516113,2022-08-01
6351.973868179368,2022-08-02
-4771.4406535148155,2022-08-03
1336.9747640684946,2022-08-04
2173.4319076538086,2022-08-05
2018.1110153198242,2022-08-08
12381.6243019104,2022-08-09
1964.9600372314453,2022-08-10
10682.083560943604,2022-08-11
4015.852180480957,2022-08-12
3286.6471824645996,2022-08-15
-3293.5453605651855,2022-08-16
1202.2696533203125,2022-08-17
-5662.828430175781,2022-08-18
-13888.639549255371,2022-08-19
-4641.488822937012,2022-08-22
1670.723690032959,2022-08-23
8223.642990112305,2022-08-24
-20580.476287841797,2022-08-25
-2881.455997467041,2022-08-26
-8089.592821121216,2022-08-29
-4938.350835800171,2022-08-30
2643.644386291504,2022-08-31
-8747.875537872314,2022-09-01
-3951.1805992126465,2022-09-02
9182.827512741089,2022-09-06
4647.537322998047,2022-09-07
7744.448989868164,2022-09-08
3714.953435897827,2022-09-09
-30101.422454833984,2022-09-12
213.09265327453613,2022-09-13
-342.55345344543457,2022-09-14
-4120.517427444458,2022-09-15
2732.6524658203125,2022-09-16
-6270.911190032959,2022-09-19
-12071.51030921936,2022-09-20
-517.3848705291748,2022-09-21
-14312.93134880066,2022-09-22
-9356.188241958618,2022-09-23
-3781.1732215881348,2022-09-26
14335.030151367188,2022-09-27
-10977.488452911377,2022-09-28
-10432.853439331055,2022-09-29
19403.754878997803,2022-09-30
