account_value,date,daily_return
894485.096257309,2022-04-04,
886589.7411057816,2022-04-05,-0.00882670397143892
881508.3906253433,2022-04-06,-0.005731343647289111
882255.6036384049,2022-04-07,0.0008476527518148647
884432.1193055687,2022-04-08,0.0024669899042726318
873715.0804519539,2022-04-11,-0.01211742384710035
867946.9721596336,2022-04-12,-0.006601818397522163
879876.6591267167,2022-04-13,0.01374471868644167
877741.4865647736,2022-04-14,-0.002426672579384337
877023.9771112137,2022-04-18,-0.0008174496301501799
890122.2134602586,2022-04-19,0.014934866880365716
900170.4027883302,2022-04-20,0.011288550241893569
894351.5576268617,2022-04-21,-0.006464159611829334
873068.4366794511,2022-04-22,-0.02379726491882539
878746.9212379686,2022-04-25,0.00650405434437018
855643.4760492174,2022-04-26,-0.026291352641330867
856360.3484474642,2022-04-27,0.0008378167055709262
871903.0075431444,2022-04-28,0.018149671600113493
844851.0125483782,2022-04-29,-0.031026381100569322
840414.9513121874,2022-05-02,-0.005250702396402462
841925.2392527773,2022-05-03,0.0017970740980177702
862424.192654114,2022-05-04,0.024347712178731884
839537.5823136828,2022-05-05,-0.026537532846797274
827060.8086310617,2022-05-06,-0.014861483208692516
807114.2916912043,2022-05-09,-0.02411735235390078
803161.672680279,2022-05-10,-0.004897223418808605
797721.1633894312,2022-05-11,-0.006773865680980484
786734.365275387,2022-05-12,-0.013772729893942515
800776.8169836809,2022-05-13,0.017849038160902664
797440.5882022325,2022-05-16,-0.00416624046886771
776037.4918996126,2022-05-17,-0.02683973780525961
775261.472168236,2022-05-18,-0.0009999771138337055
772419.6319073185,2022-05-19,-0.0036656539283056455
772177.5507536894,2022-05-20,-0.0003134062673049165
776929.5134847456,2022-05-23,0.006153976797717231
776398.6056901137,2022-05-24,-0.0006833410050940403
778463.4273691988,2022-05-25,0.00265948658839954
787030.4204703949,2022-05-26,0.011005003960363524
798438.0868611189,2022-05-27,0.014494568563062415
796349.1583310745,2022-05-31,-0.0026162686430158955
790390.1444208801,2022-06-01,-0.007482916064961764
802402.1585006454,2022-06-02,0.015197575734660074
794325.6130250785,2022-06-03,-0.010065458311650843
794305.1103159721,2022-06-06,-2.5811466696112895e-05
800536.4524436577,2022-06-07,0.007845023337702983
792782.9742348375,2022-06-08,-0.009685353096854699
774185.1563646592,2022-06-09,-0.023458901710304958
754073.8257832994,2022-06-10,-0.025977416921549534
726130.5104319429,2022-06-13,-0.0370564716555839
728519.8259435358,2022-06-14,0.003290476680523513
740351.3248709039,2022-06-15,0.016240462518703147
720519.5194432192,2022-06-16,-0.026787019569584403
725065.3412418985,2022-06-17,0.006309089033690762
738725.3173704691,2022-06-21,0.018839648444888724
732681.9308493624,2022-06-22,-0.008180830383096138
729731.5376121416,2022-06-23,-0.004026840451491154
749114.8749605074,2022-06-24,0.026562285373868733
746437.9408697862,2022-06-27,-0.0035734627360888283
738117.0682976046,2022-06-28,-0.011147440552774834
733650.6639001169,2022-06-29,-0.006051078601649107
728566.8417986345,2022-06-30,-0.006929486132346119
736689.0960920228,2022-07-01,0.01114826235206734
735357.0491873941,2022-07-05,-0.001808153414642577
