account_rewards,date
3626.54510803218,2022-01-03
-5016.133218765142,2022-01-04
-1115.520896911621,2022-01-05
-1406.9082017822657,2022-01-06
-9270.163047790527,2022-01-07
3709.275665283203,2022-01-10
-3660.950336456299,2022-01-11
1636.1161804199219,2022-01-12
-15412.528461456299,2022-01-13
-18251.664054870605,2022-01-14
-13565.580184936523,2022-01-18
-8591.68285369873,2022-01-19
-11308.32357788086,2022-01-20
4326.943252563477,2022-01-21
4325.311260223389,2022-01-24
-4869.911224365234,2022-01-25
-6479.041095733643,2022-01-26
18469.83073425293,2022-01-27
-937.1254818115849,2022-01-28
3208.72325134289,2022-01-31
3403.5605216979748,2022-02-01
-8606.728417205857,2022-02-02
-326.13678845216054,2022-02-03
1644.9619178771973,2022-02-04
6616.700122833252,2022-02-07
7043.642040252686,2022-02-08
-10414.048679351807,2022-02-09
-13215.181617736816,2022-02-10
-4562.246067047119,2022-02-11
11160.969192504883,2022-02-14
-2185.749324798584,2022-02-15
-12518.243766784668,2022-02-16
-5321.384815216064,2022-02-17
-17697.389274597168,2022-02-18
-13360.580078125,2022-02-22
-2141.8544845581055,2022-02-23
20592.502712249756,2022-02-24
-8725.86393737793,2022-02-25
-23384.372371673584,2022-02-28
14251.041358947754,2022-03-01
-5954.640510559082,2022-03-02
-9900.902835845947,2022-03-03
-26804.649089813232,2022-03-04
-4512.311126708984,2022-03-07
18430.64617538452,2022-03-08
-3069.088092803955,2022-03-09
-4170.421173095703,2022-03-10
4013.7179985046387,2022-03-11
17398.132778167725,2022-03-14
17830.40326309204,2022-03-15
9429.823516845703,2022-03-16
7721.3916664123535,2022-03-17
-10911.965633392334,2022-03-18
8378.087200164795,2022-03-21
-16002.569389343262,2022-03-22
7726.31950378418,2022-03-23
4333.834373474121,2022-03-24
1825.2761039733887,2022-03-25
11816.661598205566,2022-03-28
-3509.518711090088,2022-03-29
-14677.97889328003,2022-03-30
4007.8179893493652,2022-03-31
