,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,1003626.5451080322,2022-01-04,0.0036265451080321,2022-01-04
2,998610.411889267,2022-01-05,-0.0049980077183243,2022-01-05
3,997494.8909923554,2022-01-06,-0.0011170731685054,2022-01-06
4,996087.9827905732,2022-01-07,-0.0014104415115174,2022-01-07
5,986817.8197427826,2022-01-10,-0.0093065705117934,2022-01-10
6,990527.0954080658,2022-01-11,0.0037588251763127,2022-01-11
7,986866.1450716096,2022-01-12,-0.0036959618302496,2022-01-12
8,988502.2612520294,2022-01-13,0.0016578906760462,2022-01-13
9,973089.7327905732,2022-01-14,-0.0155917988917242,2022-01-14
10,954838.0687357024,2022-01-18,-0.0187564038955888,2022-01-18
11,941272.488550766,2022-01-19,-0.0142072050006328,2022-01-19
12,932680.8056970672,2022-01-20,-0.0091277318292037,2022-01-20
13,921372.4821191864,2022-01-21,-0.0121245376862122,2022-01-21
14,925699.42537175,2022-01-24,0.0046961932731173,2022-01-24
15,930024.7366319732,2022-01-25,0.0046724791456864,2022-01-25
16,925154.825407608,2022-01-26,-0.0052363244035866,2022-01-26
17,918675.7843118744,2022-01-27,-0.0070031965653738,2022-01-27
18,937145.6150461274,2022-01-28,0.0201048411742861,2022-01-28
19,936208.4895643158,2022-01-31,-0.0009999785164288,2022-01-31
20,939417.2128156588,2022-02-01,0.0034273597036447,2022-02-01
21,942820.7733373566,2022-02-02,0.0036230553105331,2022-02-02
22,934214.0449201508,2022-02-03,-0.0091287004493336,2022-02-03
23,933887.9081316986,2022-02-04,-0.0003491028530618,2022-02-04
24,935532.8700495758,2022-02-07,0.0017614125887635,2022-02-07
25,942149.5701724092,2022-02-08,0.0070726538154481,2022-02-08
26,949193.2122126616,2022-02-09,0.0074761399497997,2022-02-09
27,938779.16353331,2022-02-10,-0.0109714740322212,2022-02-10
28,925563.9819155732,2022-02-11,-0.0140769865066012,2022-02-11
29,921001.735848526,2022-02-14,-0.004929152555834,2022-02-14
30,932162.7050410308,2022-02-15,0.0121182933300578,2022-02-15
31,929976.9557162324,2022-02-16,-0.0023448152484306,2022-02-16
32,917458.7119494476,2022-02-17,-0.0134608107113187,2022-02-17
33,912137.3271342316,2022-02-18,-0.0058001354675776,2022-02-18
