,account_value,date,daily_return,datadate
0,1000000.0,2022-01-04,,2022-01-04
1,1035651.9443616334,2022-01-05,0.0356519443616334,2022-01-05
2,1048479.512181366,2022-01-06,0.012385983427704,2022-01-06
3,1038533.6851620028,2022-01-07,-0.0094859526617464,2022-01-07
4,1049343.663937027,2022-01-10,0.0104088860375657,2022-01-10
5,1044276.4677242584,2022-01-11,-0.0048289196255847,2022-01-11
6,1054465.0883907625,2022-01-12,0.0097566314873565,2022-01-12
7,1058510.2871517488,2022-01-13,0.0038362567006933,2022-01-13
8,1058652.0959133457,2022-01-14,0.0001339701307752,2022-01-14
9,1066467.3264583894,2022-01-17,0.0073822463255044,2022-01-17
10,1047829.7143825836,2022-01-18,-0.0174760272663007,2022-01-18
11,1040908.1320929108,2022-01-19,-0.0066056365787939,2022-01-19
12,1027115.0447955286,2022-01-20,-0.0132510131029999,2022-01-20
13,1023257.5606749536,2022-01-21,-0.0037556495157199,2022-01-21
14,978983.5777647974,2022-01-24,-0.043267682166895,2022-01-24
15,992013.861852932,2022-01-25,0.0133100129400385,2022-01-25
16,981099.8118956567,2022-01-27,-0.011001912752398,2022-01-27
17,983837.557165432,2022-01-28,0.0027904859796941,2022-01-28
18,1001750.8595030786,2022-01-31,0.018207581330049,2022-01-31
19,1002855.0629332544,2022-02-01,0.0011022735041361,2022-02-01
20,1021764.2556822778,2022-02-02,0.0188553595109903,2022-02-02
21,1017765.4426329614,2022-02-03,-0.0039136356816927,2022-02-03
22,1016344.8167784692,2022-02-04,-0.0013958283460843,2022-02-04
23,990207.1708128932,2022-02-07,-0.0257173013863791,2022-02-07
24,994717.9545348168,2022-02-08,0.0045553939164273,2022-02-08
25,1018404.2524684718,2022-02-09,0.0238120743932201,2022-02-09
26,1021003.9760402492,2022-02-10,0.0025527422587601,2022-02-10
27,1011104.1163428308,2022-02-11,-0.0096962009254977,2022-02-11
28,971933.4848120692,2022-02-14,-0.0387404530331081,2022-02-14
29,1012161.9552710536,2022-02-15,0.0413901476671141,2022-02-15
30,1008606.1527808192,2022-02-16,-0.003513076609644,2022-02-16
31,1008683.5112402918,2022-02-17,7.669838148349761e-05,2022-02-17
32,1011233.947702694,2022-02-18,0.0025284803746481,2022-02-18
33,994603.92280505,2022-02-21,-0.0164452794879206,2022-02-21
34,992767.9658653528,2022-02-22,-0.001845917653853,2022-02-22
35,995477.659895611,2022-02-23,0.0027294333856715,2022-02-23
36,937110.541359234,2022-02-24,-0.0586322736187746,2022-02-24
37,969141.7941973688,2022-02-25,0.0341808691978589,2022-02-25
38,980089.0199351312,2022-02-28,0.0112957936633295,2022-02-28
39,961695.2464060786,2022-03-02,-0.0187674518894928,2022-03-02
40,954947.3743968012,2022-03-03,-0.0070166427821023,2022-03-03
41,938234.3996348385,2022-03-04,-0.0175014615569991,2022-03-04
42,923185.5443491938,2022-03-07,-0.0160395475709498,2022-03-07
43,922262.4726040766,2022-03-08,-0.0009998767320039,2022-03-08
44,950967.7351796384,2022-03-09,0.031124829891983,2022-03-09
45,975628.6802479976,2022-03-10,0.0259324729494643,2022-03-10
46,977895.3074452633,2022-03-11,0.0023232478125689,2022-03-11
47,983570.061779034,2022-03-14,0.0058030284945287,2022-03-14
48,980215.265911114,2022-03-15,-0.0034108356875481,2022-03-15
49,1009411.7989921689,2022-03-16,0.029785837964803,2022-03-16
50,1033808.6249477352,2022-03-17,0.0241693489019299,2022-03-17
51,1018147.7775368616,2022-03-21,-0.0151486909984575,2022-03-21
52,1036166.0445656704,2022-03-22,0.0176971039237536,2022-03-22
53,1026215.176828854,2022-03-23,-0.0096035454828936,2022-03-23
54,1025612.115046017,2022-03-24,-0.0005876562698092,2022-03-24
55,1038956.7042488978,2022-03-25,0.0130113412342853,2022-03-25
56,1049552.594004147,2022-03-28,0.0101985864395661,2022-03-28
57,1050118.3493319058,2022-03-29,0.0005390442851467,2022-03-29
58,1062055.6840181851,2022-03-30,0.0113676088927252,2022-03-30
59,1062528.496792843,2022-03-31,0.0004451864264491,2022-03-31
60,1083997.2503481412,2022-04-01,0.0202053437814604,2022-04-01
61,1092613.0791140103,2022-04-04,0.0079482016795726,2022-04-04
62,1115985.921811154,2022-04-05,0.0213916922137673,2022-04-05
63,1118774.1332369351,2022-04-06,,2022-04-06
