account_rewards,date
-33033.016191772185,2022-10-10
14906.178590095486,2022-10-11
-3562.4153213500977,2022-10-12
11436.023277282831,2022-10-13
-4257.707008361816,2022-10-14
23804.568077087402,2022-10-17
11672.614295959473,2022-10-18
12882.782699584961,2022-10-19
5343.9524002075195,2022-10-20
27562.1309967041,2022-10-21
-17314.726470947266,2022-10-24
-3021.1251068115234,2022-10-25
6921.934631347656,2022-10-27
14738.147369384766,2022-10-28
9197.937683105469,2022-10-31
-10228.820320129395,2022-11-01
1032.69189453125,2022-11-02
521.2475891113281,2022-11-03
2141.5735092163086,2022-11-04
-8300.837600708008,2022-11-07
-9678.963272094727,2022-11-09
10799.852478027344,2022-11-10
-10912.699905395508,2022-11-11
-1079.4619140625,2022-11-14
2257.9913177490234,2022-11-15
-914.4130859375,2022-11-16
-3933.5696868896484,2022-11-17
-8116.731796264648,2022-11-18
-3113.1375579833984,2022-11-21
-2113.519012451172,2022-11-22
10324.333984375,2022-11-23
-6230.336730957031,2022-11-24
10982.4365234375,2022-11-25
10837.303985595703,2022-11-28
6600.880111694336,2022-11-29
-1383.7033081054688,2022-11-30
-14253.862899780273,2022-12-01
258.2401123046875,2022-12-02
6788.50944519043,2022-12-05
3697.362518310547,2022-12-06
1922.4016876220703,2022-12-07
15009.982727050781,2022-12-08
10711.524810791016,2022-12-09
-2292.5921478271484,2022-12-12
-9365.626113891602,2022-12-13
-15776.831726074219,2022-12-14
-913.4066772460938,2022-12-15
15055.010482788086,2022-12-16
-1048.2001342773438,2022-12-19
6149.449554443359,2022-12-20
-5569.359512329102,2022-12-21
-14006.893020629883,2022-12-22
-5908.839340209961,2022-12-23
241.62376403808594,2022-12-26
1625.4601287841797,2022-12-27
-2641.707260131836,2022-12-28
-11745.412033081055,2022-12-29
-824.7651214599609,2022-12-30
6579.576553344727,2023-01-02
-11298.661209106445,2023-01-03
13102.44418334961,2023-01-04
3530.8843688964844,2023-01-05
