account_value,date,daily_return
972264.966127259,2022-04-06,
951848.9311823127,2022-04-07,-0.02099842702989474
946072.6897506111,2022-04-08,-0.0060684434708844215
942990.0305234992,2022-04-11,-0.003258374605364045
943833.6997129524,2022-04-12,0.000894674558738151
930470.2797758186,2022-04-13,-0.014158659455789757
934199.2109891975,2022-04-18,0.004007576915059818
918903.789510926,2022-04-19,-0.0163727621457479
942321.2231962287,2022-04-20,0.02548409741325197
963166.9334013069,2022-04-21,0.022121660525030062
964483.1658994758,2022-04-22,0.0013665673649332355
962455.7166196906,2022-04-25,-0.0021021095561520875
962320.4285032356,2022-04-26,-0.00014056554927044385
947329.4968931281,2022-04-27,-0.015577900215029028
957910.6878873908,2022-04-28,0.011169493855057722
936737.014623841,2022-04-29,-0.02210401609595458
923931.1251890266,2022-05-02,-0.013670741344577686
900339.2727109992,2022-05-04,-0.02553421119263699
904572.0720884406,2022-05-05,0.004701338157443891
887500.5452024543,2022-05-06,-0.018872489448598873
894249.4884245002,2022-05-09,0.007604438395591551
906210.4535123908,2022-05-10,0.013375422902353051
893849.8705656135,2022-05-11,-0.013639859150673894
879964.3060361946,2022-05-12,-0.01553456009411558
863281.959219178,2022-05-13,-0.01895798125285597
877241.6816770637,2022-05-16,0.01617052494704274
911828.6134550178,2022-05-17,0.039426913358508786
913402.4456235969,2022-05-18,0.0017260175271487377
887843.9608366096,2022-05-19,-0.027981625086998863
908682.7063505256,2022-05-20,0.023471180109486678
939172.5753233039,2022-05-23,0.03355392235341692
927749.5067045295,2022-05-24,-0.012162906923514183
922256.556875428,2022-05-25,-0.005920725141221772
927067.8643247688,2022-05-26,0.005216886140274601
943417.0621702278,2022-05-27,0.01763538406906906
953328.0513364875,2022-05-30,0.01050541649465253
950397.0239774787,2022-05-31,-0.003074521257294127
945046.6569425666,2022-06-01,-0.005629612572354725
944896.2369138801,2022-06-02,-0.00015916677508087673
924133.247701844,2022-06-03,-0.02197382993062813
924712.0984098518,2022-06-06,0.0006263714777574592
933030.0363676155,2022-06-07,0.008995165059554555
941475.120092591,2022-06-08,0.0090512452930811
947046.705602845,2022-06-09,0.005917931755547556
942829.3821317756,2022-06-10,-0.00445313145182713
933639.4520017707,2022-06-13,-0.009747182580612912
924081.0913297737,2022-06-14,-0.010237742901184621
925845.831899842,2022-06-15,0.0019097247921486815
917192.8351041877,2022-06-16,-0.009346044986667246
916275.7377015082,2022-06-17,-0.0009998959516243078
913198.5162230995,2022-06-20,-0.0033584011360247024
927064.0146972206,2022-06-21,0.015183443936667151
925556.3851348427,2022-06-22,-0.001626241056147948
979364.405154374,2022-06-23,0.058135863880072636
989391.0630370644,2022-06-24,0.01023792352460462
999985.8219481972,2022-06-27,0.010708363261955123
1005108.0544005898,2022-06-28,0.005122305076699307
1005755.6884795693,2022-06-29,0.0006443427412048397
1000837.1032897499,2022-06-30,-0.004890437355870136
992070.1870757607,2022-07-01,-0.008759583537792937
997692.9585448769,2022-07-04,0.0056677153918816
987724.2068206337,2022-07-05,-0.009991803228502794
1018754.8968841103,2022-07-06,0.031416350686960026
