account_rewards,date
-14312.51801100152,2022-07-07
4626.892150878906,2022-07-08
-10619.318115234375,2022-07-11
3953.2400512695312,2022-07-12
13468.796142578125,2022-07-13
24027.30694580078,2022-07-14
-7713.5501708984375,2022-07-15
530.9400634765625,2022-07-18
5644.321594238281,2022-07-19
4389.54428390495,2022-07-20
4337.061325073242,2022-07-21
-23237.932830810547,2022-07-22
-11012.166221618652,2022-07-25
15629.117660522461,2022-07-26
6744.765266418457,2022-07-27
6682.568298339844,2022-07-28
26882.52123260498,2022-07-29
18258.24237060547,2022-08-01
-15891.009168212768,2022-08-02
4015.326416015625,2022-08-03
-14577.174133300781,2022-08-04
8752.059631347656,2022-08-05
-3643.8072509765625,2022-08-08
-7109.308410644531,2022-08-10
-13410.686645507929,2022-08-11
33627.00238037121,2022-08-12
-7293.068115234375,2022-08-16
1001.6085205078125,2022-08-17
-18492.897583007812,2022-08-18
-17170.069885254023,2022-08-19
11843.103515625,2022-08-22
-2133.9047241210938,2022-08-23
2289.64453125,2022-08-24
-2116.1356201171875,2022-08-25
11862.363281250116,2022-08-26
28966.025390625,2022-08-29
-7812.145202636719,2022-08-30
-12581.691348945722,2022-09-01
4162.810493469238,2022-09-02
-5324.801162719727,2022-09-05
-10756.798772506649,2022-09-06
626.0064252624288,2022-09-07
16591.749291740358,2022-09-08
-1198.8938293457031,2022-09-09
-289.330810546875,2022-09-12
4312.909408569336,2022-09-13
23695.140105278,2022-09-14
-2845.6037651365623,2022-09-15
9471.658782958984,2022-09-16
6579.317657470703,2022-09-19
-7097.6749267578125,2022-09-20
16052.022552490234,2022-09-21
-6054.991424560547,2022-09-22
-55812.88064575195,2022-09-23
-5631.994201660156,2022-09-26
-5380.069791168324,2022-09-27
-10361.742919921875,2022-09-28
22088.83569335949,2022-09-29
-29653.955286392244,2022-09-30
17349.058181762695,2022-10-03
1372.13577526086,2022-10-04
7838.57470703125,2022-10-06
