account_rewards,date
-20416.034944946296,2022-04-06
-5776.241431701579,2022-04-07
-3082.6592271118425,2022-04-08
843.669189453125,2022-04-11
-13363.419937133789,2022-04-12
3728.9312133789062,2022-04-13
-15295.421478271484,2022-04-18
23417.433685302734,2022-04-19
20845.710205078125,2022-04-20
1316.2324981689453,2022-04-21
-2027.4492797851562,2022-04-22
-135.28811645507812,2022-04-25
-14990.931610107422,2022-04-26
10581.190994262695,2022-04-27
-21173.673263549805,2022-04-28
-12805.889434814453,2022-04-29
-23591.852478027344,2022-05-02
4232.799377441406,2022-05-04
-17071.526885986328,2022-05-05
6748.943222045898,2022-05-06
11960.965087890625,2022-05-09
-12360.582946777344,2022-05-10
-13885.564529418945,2022-05-11
-16682.3468170166,2022-05-12
13959.722457885742,2022-05-13
34586.9317779541,2022-05-16
1573.8321685791016,2022-05-17
-25558.484786987305,2022-05-18
20838.745513916016,2022-05-19
30489.86897277832,2022-05-20
-11423.068618774414,2022-05-23
-5492.9498291015625,2022-05-24
4811.30744934082,2022-05-25
16349.197845458984,2022-05-26
9910.989166259766,2022-05-27
-2931.027359008789,2022-05-30
-5350.367034912109,2022-05-31
-150.42002868652344,2022-06-01
-20762.989212036133,2022-06-02
578.8507080078125,2022-06-03
8317.937957763672,2022-06-06
8445.083724975586,2022-06-07
5571.585510253906,2022-06-08
-4217.323471069336,2022-06-09
-9189.930130004883,2022-06-10
-9558.36067199707,2022-06-13
1764.7405700683594,2022-06-14
-8652.996795654297,2022-06-15
-917.0974026795011,2022-06-16
-3077.221478408668,2022-06-17
13865.498474121094,2022-06-20
-1507.6295623779297,2022-06-21
53808.02001953125,2022-06-22
10026.65788269043,2022-06-23
10594.758911132812,2022-06-24
5122.232452392578,2022-06-27
647.6340789794922,2022-06-28
-4918.585189819336,2022-06-29
-8766.916213989258,2022-06-30
5622.771469116211,2022-07-01
-9968.751724243164,2022-07-04
31030.690063476562,2022-07-05
